Player,Nation,Pos,Team,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Krapyvtsov Vladyslav,UKR,GK,Girona,19,2005,2,2,180,2.0,7,3.50,18,11,66.7,0,0,2,0,0.0,1,1,0,0,0.0
Emil Audero,IDN,GK,Como,27,1997,8,8,720,8.0,18,2.25,34,16,58.8,2,2,4,0,0.0,4,4,0,0,0.0
Jean Butez,FRA,GK,Como,29,1995,19,18,"1,666",18.5,20,1.08,68,48,73.5,8,4,6,5,27.8,2,2,0,0,0.0
Elia Caprile,ITA,GK,Napoli,22,2001,4,3,325,3.6,1,0.28,8,7,87.5,3,0,0,3,100.0,0,0,0,0,N/A
Elia Caprile,ITA,GK,Cagliari,22,2001,18,18,"1,620",18.0,22,1.22,66,44,68.2,5,4,9,5,27.8,1,1,0,0,0.0
Marco Carnesecchi,ITA,GK,Atalanta,24,2000,34,34,"3,060",34.0,34,1.00,129,97,75.2,19,7,8,13,38.2,2,2,0,0,0.0
Leandro Chichizola,ARG,GK,Parma,34,1990,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,N/A
Michele Di Gregorio,ITA,GK,Juventus,27,1997,33,33,"2,970",33.0,32,0.97,103,71,73.8,16,13,4,14,42.4,5,5,0,0,0.0
Wladimiro Falcone,ITA,GK,Lecce,29,1995,38,38,"3,420",38.0,58,1.53,181,125,72.4,8,10,20,9,23.7,10,8,1,1,11.1
David de Gea,ESP,GK,Fiorentina,33,1990,34,34,"3,060",34.0,38,1.12,133,94,72.2,18,5,11,10,29.4,3,1,2,0,66.7
Pierluigi Gollini,ITA,GK,Genoa,29,1995,7,7,630,7.0,15,2.14,32,16,62.5,1,2,4,1,14.3,4,3,1,0,25.0
Jesse Joronen,FIN,GK,Venezia,31,1993,8,7,703,7.8,15,1.92,40,27,70.0,1,1,5,2,28.6,3,3,0,0,0.0
Nicola Leali,ITA,GK,Genoa,31,1993,29,29,"2,610",29.0,31,1.07,111,82,74.8,8,10,11,10,34.5,4,3,1,0,25.0
Mike Maignan,FRA,GK,Milan,29,1995,37,37,"3,294",36.6,41,1.12,136,97,70.6,17,9,11,12,32.4,2,1,1,0,50.0
Christos Mandas,GRE,GK,Lazio,22,2001,9,9,810,9.0,7,0.78,27,20,74.1,3,5,1,4,44.4,0,0,0,0,N/A
