Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Leandro Cabrera,URU,DF,Espanyol,33,1991,31.9,4,1,0,24,8,0,17,30,23,1,1,0,83,77,42,64.7
Eduardo Camavinga,FRA,"MF,DF",Real Madrid,21,2002,12.2,2,0,0,21,31,1,2,18,26,0,1,0,90,20,18,52.6
Sergio Camello,ESP,FW,Rayo Vallecano,23,2001,12.6,2,0,0,11,10,2,6,4,3,0,0,0,32,11,26,29.7
José Campaña,ESP,MF,Las Palmas,31,1993,13.2,5,0,0,7,20,0,34,19,16,0,1,0,84,15,4,78.9
Peio Canales,ESP,"MF,FW",Athletic Club,19,2005,2.9,0,0,0,1,2,1,16,2,2,0,0,0,17,0,3,0.0
Antonio Candela,ITA,DF,Valladolid,24,2000,10.1,1,0,0,5,7,2,20,6,6,0,0,0,23,3,8,27.3
Sergi Canós,ESP,"MF,FW",Valencia,27,1997,4.1,3,0,0,12,6,1,18,5,7,0,0,0,20,4,8,33.3
Irvin Cardona,FRA,"FW,MF",Espanyol,26,1997,6.7,1,0,0,8,8,5,14,4,5,0,0,0,19,8,11,42.1
Marc Cardona,ESP,"FW,DF",Las Palmas,29,1995,1.5,2,0,0,2,3,0,1,0,2,0,0,0,8,0,6,0.0
Sergi Cardona,ESP,DF,Villarreal,25,1999,32.7,11,0,0,38,28,3,111,40,48,0,1,0,131,41,27,60.3
Johnny Cardoso,USA,MF,Betis,22,2001,23.8,4,0,0,38,27,0,3,48,31,0,0,0,138,29,18,61.7
Carmona,ESP,DF,Sevilla,22,2002,32.7,11,0,0,49,43,1,41,68,59,0,0,0,164,33,20,62.3
Sergio Carreira,ESP,"MF,DF",Celta Vigo,23,2000,18.4,1,0,0,19,7,3,41,17,16,0,0,0,66,3,14,17.6
Dani Carvajal,ESP,DF,Real Madrid,32,1992,6.8,1,0,0,3,6,0,14,10,8,0,0,0,21,7,5,58.3
William Carvalho,POR,MF,Betis,32,1992,5.4,1,0,0,7,3,0,2,3,6,0,0,0,29,6,5,54.5
Marc Casado,ESP,MF,Barcelona,20,2003,17.9,4,1,1,26,36,0,9,22,25,0,0,0,90,8,23,25.8
Catena,ESP,DF,Osasuna,29,1994,34.2,11,0,0,36,14,1,2,35,28,1,1,0,108,67,35,65.7
Maximiliano Caufriez,BEL,DF,Valencia,27,1997,1.0,0,0,0,3,0,0,0,1,1,0,1,0,1,2,5,28.6
Dani Ceballos,ESP,MF,Real Madrid,27,1996,13.5,4,0,0,13,30,0,14,14,21,0,0,0,87,2,1,66.7
Franco Cervi,ARG,"FW,MF",Celta Vigo,30,1994,3.0,1,0,0,4,1,0,6,8,3,0,0,0,12,4,6,40.0
Walid Cheddira,MAR,FW,Espanyol,26,1998,7.1,3,0,0,30,27,11,2,1,0,1,0,0,19,15,25,37.5
Chema,ESP,MF,Real,Madrid 19,2005,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0
Julián Chicco,ARG,"MF,DF",Leganés,26,1998,3.4,0,0,0,1,3,0,3,4,7,0,0,0,12,1,10,9.1
Chiquinho,POR,"MF,FW",Mallorca,24,2000,1.6,2,0,0,6,8,0,9,2,0,0,0,0,10,0,5,0.0
Andreas Christensen,DEN,DF,Barcelona,28,1996,2.8,3,0,0,5,0,0,0,4,4,0,0,0,14,11,3,78.6
Jasper Cillessen,NED,GK,Las Palmas,35,1989,25.9,1,0,0,0,5,0,0,0,0,0,0,0,20,2,2,50.0
Pathé Ciss,SEN,"MF,DF",Rayo Vallecano,30,1994,23.8,12,0,0,45,25,0,4,40,24,0,2,0,148,48,30,61.5
Seydouba Cissé,GUI,MF,Leganés,23,2001,27.1,3,1,0,39,25,2,10,12,37,1,1,0,154,25,38,39.7
Silvi Clúa,ESP,MF,Girona,19,2005,1.8,0,0,0,5,0,0,0,2,7,0,0,0,4,6,3,66.7
Santi Comesaña,ESP,MF,Villarreal,27,1996,28.4,7,0,0,37,27,1,14,19,49,0,0,0,160,32,49,39.5
Diego Conde,ESP,GK,Villarreal,25,1998,21.8,2,0,0,0,1,0,0,1,2,0,0,0,30,1,0,100.0
Tomás Conechny,ARG,"FW,MF",Alavés,26,1998,9.4,8,0,0,28,11,5,31,6,12,0,0,0,45,23,20,53.5
Copete,ESP,DF,Mallorca,24,1999,17.0,6,0,0,27,13,0,7,17,17,0,0,0,46,27,16,62.8
Iker Córdoba,ESP,DF,Valencia,18,2005,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,100.0
Ángel Correa,ARG,"FW,MF",Atlético Madrid,29,1995,8.9,3,1,0,18,11,4,24,4,3,0,0,0,40,1,8,11.1
Thierry Correia,POR,DF,Valencia,25,1999,8.5,1,0,0,15,14,0,18,4,18,0,0,0,38,4,8,33.3
Coba da Costa,ESP,"MF,FW",Getafe,22,2002,11.2,4,0,0,10,10,0,41,8,13,0,0,0,35,19,19,50.0
Logan Costa,CPV,DF,Villarreal,23,2001,28.7,3,0,0,19,3,2,5,21,21,1,2,0,104,46,37,55.4
Samu Costa,POR,MF,Mallorca,23,2000,29.4,10,1,1,62,63,2,20,32,44,0,0,0,129,68,40,63.0
Thibaut Courtois,BEL,GK,Real Madrid,32,1992,30.0,1,0,0,0,2,0,0,1,0,0,0,1,45,8,0,100.0
Juan Cruz Armada,ESP,DF,Osasuna,32,1992,16.6,4,0,0,16,2,2,11,9,14,0,1,0,46,9,10,47.4
Juan Cruz,ESP,"FW,MF",Leganés,24,2000,25.1,2,0,0,14,23,7,92,13,19,0,0,0,109,15,19,44.1
Pau Cubarsí,ESP,DF,Barcelona,17,2007,29.1,3,0,0,24,9,0,2,16,23,0,1,0,102,62,44,58.5
Cucho,COL,FW,Betis,25,1999,12.7,0,0,0,10,9,5,12,7,10,1,0,0,28,29,35,45.3
Arnaut Danjuma,NED,FW,Villarreal,27,1997,2.2,1,0,0,1,1,3,0,0,1,0,0,0,2,2,0,100.0
Arnaut Danjuma,NED,"FW,MF",Girona,27,1997,14.8,2,0,0,16,16,14,76,2,6,0,1,0,40,1,3,25.0
Sergi Darder,ESP,"MF,FW",Mallorca,30,1993,30.5,4,0,0,21,37,3,163,16,26,0,0,0,122,13,10,56.5
Rodrigo De Paul,ARG,MF,Atlético Madrid,30,1994,23.4,7,0,0,19,49,0,59,6,26,0,0,0,128,4,7,36.4
Mouctar Diakhaby,GUI,DF,Valencia,27,1996,7.3,0,0,0,2,4,0,1,11,3,0,0,0,23,18,5,78.3
Assane Diao,SEN,FW,Betis,18,2005,3.1,0,0,0,4,4,2,4,0,3,0,0,0,12,8,6,57.1
Moussa Diarra,MLI,DF,Alavés,23,2000,20.7,6,0,0,28,24,1,23,21,24,1,1,0,76,31,29,51.7
Brahim Díaz,MAR,"FW,MF",Real Madrid,24,1999,15.4,0,0,0,14,34,1,8,4,19,0,0,0,54,3,14,17.6
Daniel Díaz,ESP,MF,Real Sociedad,18,2006,0.1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,100.0
Pedro Díaz,ESP,MF,Rayo Vallecano,26,1998,13.5,2,0,0,7,6,0,42,7,15,0,0,0,80,5,8,38.5
Diego,ESP,FW,Leganés,24,2000,13.3,2,0,0,22,23,7,5,2,1,1,0,0,25,43,83,34.1
Yan Diomandé,CIV,"MF,FW",Leganés,17,2006,6.1,1,0,0,8,16,2,12,8,9,0,0,0,41,3,12,20.0
Álvaro djaló,ESP,FW,Athletic Club,24,1999,7.3,2,0,0,19,14,5,14,1,5,0,0,0,28,10,19,34.5
Marko Dmitrović,SRB,GK,Leganés,32,1992,32.0,0,0,0,1,6,0,0,0,1,0,1,0,37,13,0,100.0
Marc Domenech,ESP,"FW,MF",Mallorca,18,2006,3.4,0,0,0,5,1,0,4,0,4,0,0,0,8,8,7,53.3
Carlos Dominguez,ESP,DF,Celta Vigo,23,2001,13.1,1,0,0,8,10,0,0,13,11,0,0,1,45,28,15,65.1
Israel Domínguez,ESP,FW,Sevilla,21,2003,0.2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.0
Sergi Dominguez,ESP,DF,Barcelona,19,2005,1.9,1,0,0,2,0,0,0,3,1,0,1,0,8,1,3,25.0
Anastasios Douvikas,GRE,FW,Celta Vigo,24,1999,7.8,2,0,0,10,27,9,1,3,4,0,0,0,15,14,23,37.8
Domingos Duarte,POR,DF,Getafe,29,1995,20.7,4,2,1,24,13,0,0,18,15,0,2,0,63,28,18,60.9
Duk,CPV,"MF,FW",Leganés,24,2000,2.0,1,0,0,5,13,0,8,1,4,0,0,0,11,2,5,28.6
Pablo Durán,ESP,"FW,MF",Celta Vigo,23,2001,15.5,3,0,0,32,18,7,18,8,9,0,0,0,46,13,32,28.9
Hugo Duro,ESP,FW,Valencia,24,1999,24.1,5,0,0,38,50,7,7,10,8,2,1,1,46,59,101,36.9
Chidera Ejuke,NGA,FW,Sevilla,26,1998,10.7,0,0,0,6,16,4,22,5,13,0,0,0,63,4,9,30.8
Aritz Elustondo,ESP,DF,Real Sociedad,30,1994,16.2,2,1,0,25,18,1,4,11,11,0,0,0,53,29,25,53.7
Adri Embarba,ESP,"FW,MF",Rayo Vallecano,32,1992,17.9,4,0,0,25,21,14,114,13,20,0,0,0,67,13,33,28.3
Endrick,BRA,FW,Real,Madrid 18,2006,4.0,1,0,0,10,9,2,2,4,1,1,0,0,7,6,4,60.0
Alfonso Espino,URU,DF,Rayo Vallecano,32,1992,9.3,4,0,0,18,15,0,24,12,24,0,1,0,55,14,11,56.0
Dario Essugo,POR,MF,Las Palmas,19,2005,21.5,11,2,2,37,30,0,1,42,45,0,1,0,118,30,32,48.4
Etienne Eto'o,CMR,FW,Rayo Vallecano,21,2002,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2,75.0
Karl Etta,CMR,"MF,FW",Villarreal,20,2003,0.4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100.0
Edu Expósito,ESP,MF,Espanyol,27,1996,11.6,3,0,0,14,22,2,66,15,13,0,0,0,63,11,11,50.0
Abde Ezzalzouli,MAR,"FW,MF",Betis,22,2001,22.0,2,0,0,23,38,4,49,7,25,2,0,0,102,26,37,41.3
Ansu Fati,ESP,FW,Barcelona,21,2002,2.6,1,0,0,2,2,2,0,1,1,0,0,0,7,2,7,22.2
Nabil Fekir,FRA,MF,Betis,31,1993,2.0,0,0,0,3,7,0,10,0,2,0,0,0,3,0,2,0.0
Kiko Femenía,ESP,DF,Villarreal,33,1991,24.7,7,0,0,21,13,1,47,40,34,0,0,0,102,5,12,29.4
Álvaro Fernández,ESP,GK,Sevilla,26,1998,8.3,2,0,0,0,2,0,0,0,0,0,0,0,11,2,0,100.0
Pelayo Fernandez,ESP,DF,Rayo Vallecano,21,2003,1.1,1,0,0,2,0,0,0,2,0,0,0,0,4,3,3,50.0
Roberto Férnandez,ESP,FW,Espanyol,22,2002,16.6,1,0,0,28,25,9,2,3,4,1,0,0,33,34,54,38.6
Valery Fernández,ESP,"MF,FW",Mallorca,24,1999,3.4,1,0,0,3,1,1,3,0,7,0,0,0,19,1,4,20.0
André Ferreira,POR,GK,Valladolid,28,1996,6.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0.0
Mateo Flores,ESP,MF,Betis,20,2004,1.7,1,0,0,4,1,0,1,2,1,0,0,0,12,0,2,0.0
Pablo Fornals,ESP,"MF,FW",Betis,28,1996,20.3,2,0,0,12,14,3,54,23,13,0,0,0,114,18,21,46.2
Héctor Fort,ESP,DF,Barcelona,17,2006,6.5,2,0,0,8,1,0,12,6,8,0,0,0,32,3,7,30.0
Dimitri Foulquier,FRA,DF,Valencia,31,1993,25.5,6,0,0,24,31,1,57,16,31,0,0,0,97,13,20,39.4
Juan Foyth,ARG,DF,Villarreal,26,1998,16.9,4,0,0,16,5,0,4,19,15,0,0,0,61,41,28,59.4
Alejandro Francés,ESP,DF,Girona,21,2002,13.0,2,0,0,20,14,1,25,17,24,0,0,0,37,6,13,31.6
Jorge de Frutos,ESP,"FW,MF",Rayo Vallecano,27,1997,27.7,3,1,0,41,33,9,69,19,21,0,0,0,111,15,24,38.5
Manuel Fuster,ESP,"FW,MF",Las Palmas,26,1997,11.1,2,0,0,12,37,1,67,4,11,0,0,0,63,3,13,18.8
Javi Galán,ESP,DF,Atlético Madrid,29,1994,19.8,8,0,0,38,35,4,57,12,31,0,1,0,71,25,25,50.0
Conor Gallagher,ENG,MF,Atlético Madrid,24,2000,18.1,2,0,0,32,39,1,13,20,32,1,0,0,107,9,21,30.0
Facundo Garcés,MAS,DF,Alavés,24,1999,7.5,2,0,0,7,2,0,1,5,2,0,1,0,14,13,14,48.1
Álvaro García,ESP,"FW,MF",Rayo Vallecano,31,1992,28.4,4,0,0,18,19,16,109,32,24,1,1,0,94,9,18,33.3
Fran Garcia,ESP,DF,Real Madrid,24,1999,24.1,0,0,0,13,22,4,66,28,36,0,0,0,106,17,21,44.7
Gonzalo García,ESP,"FW,DF",Real Madrid,20,2004,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Joan García,ESP,GK,Espanyol,23,2001,38.0,2,0,0,0,7,0,0,0,0,0,0,0,35,21,1,95.5
Rubén García,ESP,"FW,MF",Osasuna,31,1993,26.8,2,0,0,36,31,10,136,15,31,1,0,0,122,28,37,43.1
Unai García,ESP,DF,Osasuna,32,1992,0.7,0,0,0,3,3,0,0,0,0,0,0,0,2,1,5,16.7
Yarek Gasiorowski,ESP,DF,Valencia,19,2005,10.5,1,0,0,5,2,0,3,26,16,0,0,0,40,24,13,64.9
Gavi,ESP,"MF,FW",Barcelona,19,2004,12.1,4,0,0,38,26,1,9,10,21,0,0,0,61,21,26,44.7
Paulo Gazzaniga,ARG,GK,Girona,32,1992,35.5,4,0,0,1,3,0,0,0,1,0,0,0,47,1,2,33.3
Bryan Gil,ESP,"FW,MF",Girona,23,2001,19.1,4,0,0,22,40,4,78,10,20,0,0,0,78,0,5,0.0
Dani Gómez,ESP,FW,Valencia,26,1998,5.9,0,0,0,7,8,10,0,2,2,0,0,0,14,7,24,22.6
Moi Gómez,ESP,"MF,FW",Osasuna,30,1994,8.8,1,0,0,14,6,1,28,6,9,0,0,1,66,7,12,36.8
Sergi Gómez,ESP,DF,Espanyol,32,1992,7.4,1,0,0,6,1,0,1,7,5,0,0,0,15,11,22,33.3
Sergio Gómez,ESP,"MF,DF",Real Sociedad,23,2000,30.4,4,0,0,29,16,9,231,19,39,0,1,0,146,20,22,47.6
Unai Gómez,ESP,"MF,FW",Athletic Club,21,2003,14.3,1,0,0,12,18,0,23,2,8,0,0,0,42,29,31,48.3
Fabio González,ESP,MF,Las Palmas,27,1997,0.6,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,100.0
Peter González,DOM,"MF,FW",Getafe,22,2002,5.3,1,0,0,9,10,2,14,2,6,0,0,0,20,10,13,43.5
Urko González,ESP,MF,Espanyol,23,2001,15.3,2,0,0,15,11,1,3,8,28,0,1,0,71,20,15,57.1
Urko González,ESP,MF,Real Sociedad,23,2001,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0.0
Andoni Gorosabel,ESP,DF,Athletic Club,27,1996,16.5,5,0,0,24,4,1,41,18,28,0,0,0,56,20,28,41.7
José Gragera,ESP,MF,Espanyol,23,2000,6.3,0,0,0,18,8,0,0,5,16,0,0,0,18,11,5,68.8
Dominik Greif,SVK,GK,Mallorca,27,1997,31.0,1,0,0,0,3,0,0,0,0,0,0,0,42,7,2,77.8
Antoine Griezmann,FRA,"FW,MF",Atlético Madrid,33,1991,27.4,2,0,0,11,26,14,138,6,17,0,0,0,93,21,23,47.7
Florian Grillitsch,AUT,MF,Valladolid,28,1995,6.9,1,0,0,6,12,0,6,4,7,0,0,0,42,5,4,55.6
Vicente Guaita,ESP,GK,Celta Vigo,37,1987,34.0,0,0,0,0,5,0,0,0,0,0,0,0,75,10,0,100.0
Sergi Guardiola,ESP,FW,Rayo Vallecano,33,1991,4.0,1,0,0,9,7,2,4,1,3,0,0,0,7,6,12,33.3
Nemanja Gudelj,SRB,"MF,DF",Sevilla,32,1991,27.7,6,0,0,26,14,0,31,27,24,0,0,0,74,46,26,63.9
Javier Guerra,ESP,MF,Valencia,21,2003,28.7,5,0,0,34,30,1,45,20,27,0,0,0,168,17,18,48.6
Ander Guevara,ESP,MF,Alavés,27,1997,21.6,3,0,0,39,18,0,5,14,30,0,0,0,120,30,39,43.5
Pape Gueye,SEN,MF,Villarreal,25,1999,24.7,6,2,1,31,62,4,20,27,26,0,1,0,126,31,23,57.4
Hugo Guillamón,ESP,MF,Valencia,24,2000,4.0,2,0,0,6,4,1,1,5,8,0,0,0,21,5,4,55.6
Carlos Guirao,ESP,MF,Betis,21,2003,1.2,0,0,0,4,0,0,0,3,3,0,0,0,6,2,1,66.7
Arda Güler,TUR,"MF,FW",Real Madrid,19,2005,13.9,1,0,0,15,31,4,57,7,16,1,0,0,56,7,11,38.9
Gerard Gumbau,ESP,MF,Rayo Vallecano,29,1994,9.4,4,0,0,21,11,2,38,5,12,0,0,0,27,17,22,43.6
Jon Guridi,ESP,"MF,FW",Alavés,29,1995,23.1,6,0,0,35,14,5,17,14,22,0,1,0,86,47,66,41.6
Gorka Guruzeta,ESP,FW,Athletic Club,27,1996,20.4,2,0,0,40,21,7,5,9,8,0,0,0,61,36,69,34.3
Munir El Haddadi,MAR,"FW,MF",Leganés,28,1995,9.6,1,1,0,14,39,7,13,1,9,0,0,0,33,10,24,29.4
Sébastien Haller,CIV,FW,Leganés,30,1994,4.5,0,0,0,4,5,7,0,0,0,0,0,0,10,26,17,60.5
Henrique,BRA,DF,Valladolid,30,1994,3.9,0,0,0,5,9,0,3,3,2,0,1,0,9,1,2,33.3
Javi Hernández,ESP,DF,Leganés,26,1998,26.5,6,0,0,49,16,5,52,23,15,0,0,0,112,21,23,47.7
Aridane Hernández,ESP,DF,Rayo Vallecano,35,1989,11.4,1,0,0,5,10,0,0,6,11,0,0,1,48,40,19,67.8
Jorge Herrando,ESP,DF,Osasuna,23,2001,15.2,3,0,0,25,2,0,2,12,11,0,1,0,36,29,11,72.5
Ander Herrera,ESP,MF,Athletic Club,34,1989,3.0,2,0,0,6,3,0,1,2,4,0,0,0,14,3,2,60.0
Sergio Herrera,ESP,GK,Osasuna,31,1993,37.0,5,0,0,1,4,0,0,0,1,0,1,0,33,5,1,83.3
Yangel Herrera,VEN,MF,Girona,26,1998,25.1,10,1,0,72,68,5,44,31,39,1,0,0,106,50,45,52.6
Juan Herzog,ESP,DF,Las Palmas,21,2003,14.6,1,0,0,6,7,0,0,18,12,0,0,0,41,44,25,63.8
Omar El Hilali,MAR,DF,Espanyol,20,2003,35.0,11,0,0,52,30,7,57,46,79,0,2,0,132,36,30,54.5
Roger Hinojo,ESP,DF,Espanyol,19,2005,0.1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0
Pablo Ibáñez,ESP,MF,Osasuna,25,1998,14.4,4,0,0,28,29,0,13,18,10,0,0,0,56,19,24,44.2
Stanis Idumbo,BEL,"FW,MF",Sevilla,19,2005,3.2,0,0,0,1,7,0,0,4,5,0,0,0,19,1,0,100.0
Iglesias,ESP,DF,Getafe,26,1998,32.1,4,0,0,45,41,1,84,50,47,0,0,0,107,35,38,47.9
Borja Iglesias,ESP,FW,Celta Vigo,31,1993,21.7,2,0,0,40,34,14,6,7,9,2,0,0,46,14,27,34.1
Kelechi Iheanacho,NGA,FW,Sevilla,27,1996,4.4,0,0,0,5,1,7,0,0,0,0,0,0,7,2,8,20.0
Isco,ESP,MF,Betis,32,1992,17.2,5,0,0,23,44,4,92,11,13,0,0,0,71,13,21,38.2
Diego Iturralde,ESP,FW,Sevilla,21,2003,0.4,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,100.0
Ivan Jaime Pajuelo,ESP,MF,Valencia,23,2000,3.3,0,0,0,8,10,1,6,2,5,0,0,0,19,4,4,50.0
Karl Jakob Hein,EST,GK,Valladolid,22,2002,31.0,0,0,0,0,2,0,0,0,0,0,0,0,43,7,0,100.0
Adnan Januzaj,BEL,"MF,FW",Las Palmas,29,1995,6.6,5,0,0,5,22,0,65,2,6,0,0,0,30,4,14,22.2
Mikel Jauregizar,ESP,MF,Athletic Club,20,2003,24.9,4,1,0,46,42,0,27,29,48,1,0,0,144,34,35,49.3
John Joe,IRL,"MF,FW",Getafe,20,2003,0.5,1,0,0,1,2,0,0,0,0,0,0,0,3,2,2,50.0
Jofre,ESP,"MF,FW",Espanyol,23,2001,24.1,5,0,0,28,59,3,54,15,16,0,0,0,105,5,17,22.7
Frenkie de Jong,NED,MF,Barcelona,27,1997,12.7,3,0,0,14,18,0,6,12,11,0,1,0,57,10,7,58.8
Joan Jordán,ESP,MF,Alavés,30,1994,15.7,4,0,0,28,11,1,106,9,18,0,0,0,61,16,13,55.2
Juanmi,ESP,"FW,MF",Getafe,31,1993,7.7,2,0,0,19,10,6,0,2,11,0,0,0,23,6,8,42.9
Juanmi,ESP,"FW,MF",Betis,31,1993,2.7,2,0,0,6,7,1,1,1,4,0,0,0,14,6,1,85.7
Juanpe,ESP,DF,Girona,33,1991,8.1,2,0,0,4,2,0,1,8,5,0,0,0,22,25,9,73.5
Vinicius Júnior,BRA,FW,Real Madrid,24,2000,25.0,8,1,0,30,70,10,56,3,10,2,0,0,71,1,7,12.5
Stanko Jurić,CRO,MF,Valladolid,27,1996,19.2,7,1,1,38,9,0,0,24,24,0,0,0,92,50,22,69.4
Willy Kambwala,FRA,DF,Villarreal,19,2004,12.4,1,1,0,5,0,0,0,10,12,0,0,0,30,16,18,47.1
Abdoulaye Keita,ESP,"FW,MF",Getafe,21,2002,1.1,0,0,0,6,0,0,1,0,2,0,0,0,6,3,3,50.0
Kiké,ESP,FW,Alavés,34,1989,28.2,5,1,1,49,59,22,13,1,14,1,0,0,90,110,100,52.4
Koke,ESP,MF,Atlético,Madrid 32,1992,21.4,4,0,0,23,16,0,22,20,23,0,0,1,122,8,9,47.1
Jules Koundé,FRA,DF,Barcelona,25,1998,28.9,4,0,0,22,19,7,63,20,43,0,0,0,107,30,23,56.6
Alex Král,CZE,MF,Espanyol,26,1998,30.2,1,0,0,31,23,0,38,28,37,0,0,0,127,38,28,57.6
Ladislav Krejčí,CZE,DF,Girona,25,1999,27.1,9,0,0,24,17,0,11,34,16,1,0,1,101,55,24,69.6
Takefusa Kubo,JPN,"MF,FW",Real Sociedad,23,2001,26.4,5,0,0,21,73,8,85,17,20,1,0,0,118,11,19,36.7
Marash Kumbulla,ALB,DF,Espanyol,24,2000,33.0,9,0,0,37,29,0,6,34,26,0,0,1,74,71,44,61.7
Yoel Lago,ESP,DF,Celta Vigo,20,2004,6.5,2,0,0,16,9,0,0,4,8,0,1,0,22,3,6,33.3
Cyle Larin,CAN,FW,Mallorca,29,1995,19.6,4,0,0,32,31,24,6,1,6,1,0,0,46,66,86,43.4
Juanmi Latasa,ESP,FW,Valladolid,23,2001,15.5,6,1,0,40,36,7,5,0,2,0,1,0,24,90,58,60.8
Toni Lato,ESP,DF,Mallorca,26,1997,6.9,1,1,0,12,3,2,23,6,11,0,0,0,30,6,7,46.2
Robin Le Normand,ESP,DF,Atlético Madrid,27,1996,23.9,8,0,0,35,24,3,1,10,18,0,1,0,82,54,39,58.1
Florian Lejeune,FRA,DF,Rayo Vallecano,33,1991,36.9,8,0,0,50,19,0,8,41,28,0,3,0,156,92,60,60.5
Iñigo Lekue,ESP,DF,Athletic Club,31,1993,8.6,1,0,0,5,2,0,16,9,12,0,0,0,39,6,2,75.0
Thomas Lemar,FRA,MF,Atlético Madrid,28,1995,0.9,0,0,0,1,2,0,3,0,1,0,0,0,3,0,1,0.0
Clément Lenglet,FRA,DF,Atlético Madrid,29,1995,21.9,9,0,0,29,19,2,4,22,17,0,2,0,74,37,38,49.3
Robert Lewandowski,POL,FW,Barcelona,35,1988,29.6,1,0,0,30,39,17,5,3,5,0,0,0,45,37,39,48.7
Samuel Lino,BRA,"MF,DF",Atlético Madrid,24,1999,17.2,3,0,0,15,30,3,41,8,17,1,0,0,85,13,12,52.0
Javier Llabrés,ESP,FW,Mallorca,21,2002,0.6,0,0,0,0,1,1,4,0,0,0,0,0,3,1,0,100.0
Diego Llorente,ESP,DF,Betis,30,1993,28.0,4,0,0,20,23,0,1,43,20,0,1,1,93,77,45,63.1
Giovani Lo Celso,ARG,"MF,FW",Betis,28,1996,16.2,4,0,0,13,63,0,95,5,22,0,0,0,76,5,11,31.3
Enzo Loiodice,FRA,MF,Las Palmas,23,2000,7.6,3,0,0,10,6,1,10,10,7,0,0,0,29,7,8,46.7
David López,ESP,DF,Mallorca,21,2003,1.9,0,0,0,0,0,0,0,1,2,0,0,0,2,2,5,28.6
David López,ESP,DF,Girona,34,1989,27.0,4,0,0,12,15,1,3,14,24,0,1,0,95,30,29,50.8
Diego López,ESP,"MF,FW",Valencia,22,2002,30.4,3,0,0,21,33,13,67,16,18,1,1,0,105,14,55,20.3
Fermin López,ESP,"MF,FW",Barcelona,21,2003,13.9,4,1,0,27,21,5,47,5,15,0,0,0,66,9,18,33.3
Javi López,ESP,DF,Real Sociedad,22,2002,21.5,4,0,0,30,27,1,60,11,23,0,0,0,92,10,19,34.5
Roberto López,ESP,MF,Leganés,24,2000,4.4,0,0,0,1,3,0,24,1,6,0,0,0,28,1,5,16.7
Unai López,ESP,MF,Rayo Vallecano,28,1995,19.0,9,1,0,18,21,1,33,21,21,0,0,0,117,10,18,35.7
Iker Losada,ESP,"FW,MF",Celta Vigo,22,2001,4.0,2,0,0,3,0,0,5,1,3,0,0,0,8,2,7,22.2
Iker Losada,ESP,"MF,FW",Betis,22,2001,3.7,0,0,0,1,2,0,4,3,7,0,0,0,19,3,4,42.9
Pol Lozano,ESP,MF,Espanyol,24,1999,21.6,12,0,0,56,14,0,19,22,34,0,0,0,86,10,16,38.5
José Luis Gayà,ESP,DF,Valencia,29,1995,20.0,7,0,0,28,14,3,84,25,40,0,0,0,93,10,11,47.6
Dodi Lukebakio,BEL,FW,Sevilla,26,1997,34.4,3,1,0,39,55,27,124,11,14,0,0,0,120,18,21,46.2
Andriy Lunin,UKR,GK,Real Madrid,25,1999,7.0,0,0,0,0,1,0,0,0,0,0,0,0,14,2,0,100.0
Darwin Machís,VEN,"MF,FW",Valladolid,31,1993,7.1,0,0,0,4,14,2,68,5,4,0,0,0,34,6,2,75.0
Pablo Maffeo,ESP,DF,Mallorca,27,1997,26.3,7,0,0,22,37,1,96,25,40,0,0,0,107,21,18,53.8
Jon Magunazelaia,ESP,MF,Real Sociedad,23,2001,0.1,0,0,0,1,1,0,0,0,1,0,0,0,5,3,0,100.0
Giorgi Mamardashvili,GEO,GK,Valencia,23,2000,34.0,2,0,0,1,6,0,0,1,2,0,1,0,29,4,2,66.7
Reinildo Mandava,MOZ,DF,Atlético Madrid,30,1994,10.5,4,0,0,19,18,1,8,16,11,0,1,0,52,10,14,41.7
Javier Manquillo,ESP,DF,Celta Vigo,30,1994,5.7,1,0,0,9,1,0,3,7,5,0,0,0,18,5,8,38.5
Marcão,BRA,DF,Sevilla,28,1996,6.1,6,1,1,9,10,0,0,7,7,0,1,0,27,14,5,73.7
Óscar de Marcos,ESP,DF,Athletic Club,35,1989,17.4,0,0,0,16,5,1,55,16,15,0,0,0,89,8,12,40.0
José María Giménez,URU,DF,Atlético Madrid,29,1995,22.2,5,0,0,13,12,0,0,27,16,0,0,1,78,38,37,50.7
Arkaitz Mariezkurrena,ESP,"FW,MF",Real Sociedad,19,2005,2.7,1,0,0,13,1,0,5,1,0,0,0,0,10,4,3,57.1
