Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Nnamdi Collins,GER,DF,Eint Frankfurt,20,2004,16.5,4,0,0,26,22,0,17,16,24,0,0,0,78,13,13,50.0
Kingsley Coman,FRA,FW,Bayern Munich,28,1996,14.2,0,0,0,9,12,8,45,8,12,0,0,0,59,11,16,40.7
Sirlord Conteh,GER,"FW,MF",Heidenheim,28,1996,9.9,2,0,0,8,11,4,20,1,5,0,0,0,17,16,20,44.4
Danny da Costa,GER,DF,Mainz 05,31,1993,22.3,0,0,0,19,4,0,22,27,23,0,0,0,98,33,38,46.5
Tomáš Čvančara,CZE,FW,Gladbach,23,2000,9.2,5,1,1,11,6,1,15,5,1,0,0,0,23,13,16,44.8
Finn Dahmen,GER,GK,Augsburg,26,1998,19.0,0,0,0,0,1,0,0,0,0,0,0,0,33,5,0,100.0
Thomas Dähne,GER,GK,Holstein Kiel,30,1994,9.0,0,0,0,1,1,0,0,0,0,0,1,0,15,6,0,100.0
Mahmoud Dahoud,GER,MF,Eint Frankfurt,28,1996,4.0,2,0,0,10,2,0,4,2,4,0,0,0,20,1,2,33.3
Ameen Al-Dakhil,BEL,DF,Stuttgart,22,2002,4.8,0,1,0,4,5,0,0,9,6,0,0,0,17,8,9,47.1
Bence Dárdai,HUN,MF,Wolfsburg,18,2006,14.5,0,0,0,9,16,0,10,12,14,1,0,0,52,10,15,40.0
Lukas Daschner,GER,"MF,FW",Bochum,25,1998,4.6,0,0,0,4,2,0,19,0,2,0,0,0,17,4,8,33.3
Alphonso Davies,CAN,DF,Bayern Munich,23,2000,17.3,0,0,0,8,26,3,22,13,17,0,0,0,115,9,8,52.9
Olivier Deman,BEL,DF,Werder Bremen,24,2000,0.7,1,0,0,1,2,0,6,3,3,0,0,0,5,4,0,100.0
Ermedin Demirović,BIH,FW,Stuttgart,26,1998,20.6,2,0,0,24,27,17,3,3,7,0,0,0,33,34,47,42.0
Justin Diehl,GER,"FW,DF",Stuttgart,19,2004,1.2,0,0,0,2,0,0,10,0,0,0,0,0,8,0,1,0.0
Eric Dier,ENG,DF,Bayern Munich,30,1994,16.3,1,0,0,16,4,1,2,20,11,0,0,0,80,52,43,54.7
Junior Dina Ebimbe,FRA,"MF,FW",Eint Frankfurt,23,2000,3.3,0,0,0,10,4,1,8,7,2,0,1,0,11,8,4,66.7
Eren Dinkçi,GER,"MF,FW",Freiburg,22,2001,13.3,1,0,0,9,6,1,15,7,13,1,0,0,55,6,14,30.0
Ritsu Doan,JPN,"FW,MF",Freiburg,26,1998,31.8,2,0,0,27,56,8,80,14,42,1,1,0,133,16,36,30.8
Danilho Doekhi,NED,DF,Union Berlin,26,1998,34.0,4,0,0,36,14,2,10,44,24,0,1,0,97,93,75,55.4
Niklas Dorsch,GER,MF,Heidenheim,26,1998,14.8,5,1,0,15,20,0,37,17,16,0,0,0,74,7,9,43.8
Patrick Drewes,GER,GK,Bochum,31,1993,21.0,2,0,0,1,3,0,0,0,0,0,1,0,36,3,0,100.0
Tim Drexler,GER,DF,Hoffenheim,19,2005,4.0,2,0,0,8,2,0,1,1,7,0,0,0,10,2,12,14.3
Marvin Ducksch,GER,FW,Werder Bremen,30,1994,26.9,3,0,0,6,17,14,167,8,7,0,0,0,65,19,29,39.6
Julien Duranville,BEL,"FW,MF",Dortmund,18,2006,3.1,3,0,0,10,7,2,13,0,0,1,0,0,5,0,1,0.0
Johannes Eggestein,GER,FW,St. Pauli,26,1998,20.6,3,0,0,11,12,14,35,0,3,0,0,0,58,28,85,24.8
Maximilian Eggestein,GER,MF,Freiburg,27,1996,31.6,4,0,0,22,24,1,9,39,32,0,0,0,154,60,56,51.7
Hugo Ekitike,FRA,FW,Eint Frankfurt,22,2002,28.5,1,0,0,39,17,19,17,7,12,1,0,0,87,52,59,46.8
Elif Elmas,MKD,MF,RB Leipzig,24,1999,0.5,1,0,0,2,0,1,0,0,1,0,0,0,3,0,1,0.0
Nico Elvedi,SUI,DF,Gladbach,27,1996,23.7,1,0,0,9,14,1,1,30,23,0,0,1,89,46,44,51.1
Arne Engels,BEL,"MF,FW",Augsburg,20,2003,0.9,1,0,0,3,1,0,4,0,0,0,0,0,0,1,0,100.0
Patrick Erras,GER,DF,Holstein Kiel,29,1995,9.2,2,0,0,11,0,0,0,9,5,0,0,0,24,27,16,62.8
Samuel Essende,COD,FW,Augsburg,26,1998,18.2,4,2,0,45,34,13,5,0,6,0,0,0,42,57,73,43.8
Kilian Fischer,GER,DF,Wolfsburg,23,2000,25.5,7,0,0,34,7,0,39,19,44,0,0,0,84,21,36,36.8
Jonas Föhrenbach,GER,DF,Heidenheim,28,1996,20.4,3,0,0,14,4,1,59,16,24,0,0,0,67,14,17,45.2
Marco Friedl,AUT,DF,Werder Bremen,26,1998,24.0,10,2,1,26,16,3,2,34,42,0,0,2,141,46,43,51.7
Marvin Friedrich,GER,DF,Gladbach,28,1995,11.0,0,0,0,5,4,0,0,5,9,0,0,0,42,34,19,64.2
Chris Führich,GER,"MF,FW",Stuttgart,26,1998,22.0,1,0,0,9,6,2,82,6,10,0,0,0,64,5,8,38.5
