GA,Command_index,Market_Value_Numeric,GA90,Save_consistency,League_strength,Shot_stopping_index,PKatt,Adj_GA90,Starts,MP,Goals_prevented,Saves_per_90,Mins_per_match,L,90s,Experience,W,SoTA,CS,D,Adj_save%,Born,Min,Top_team_experience,Market_value_driver,Age,Shots_faced_per_90,PKA,Saves
20,0.2900826446280992,,3.33,0.986490330403963,,0.18286986754966897,3,,6,6,-4.914,3.1666666666666665,90.0,6,6.0,6.293419278846481,0,39,0,0,,1996,540.0,0,,28,6.5,3,19
2,0.2900826446280992,,2.0,0.6831562090034732,0.74953,0.12388836329233682,0,2.6683388256640828,1,1,-1.38,0.0,90.0,1,1.0,3.3831446298876373,0,2,0,0,0.0,2005,90.0,1,0.9674635142868703,19,2.0,0,0
51,0.43306345077648145,25000000.0,1.34,0.9945573759054613,0.74953,0.7376400189214759,6,1.7877870131949356,38,38,12.480000000000011,3.6842105263157894,90.0,18,38.0,7.730803775728725,11,192,8,9,0.56589515,2001,3420.0,0,1.987553624462382,23,5.052631578947368,4,140
51,0.49553362739515705,2500000.0,1.44,0.9994231672903526,0.74953,0.36550955534531726,5,1.9212039544781394,36,36,-4.718999999999989,2.535211267605634,88.75,17,35.5,8.069655306886165,11,143,8,8,0.49244121,1992,3195.0,0,1.9406958125968834,32,4.028169014084507,2,90
34,0.346534257531325,6000000.0,1.1,0.9981564915895552,0.74953,0.5817263008514667,2,1.4675863541152456,31,31,3.9440000000000164,2.6774193548387095,90.0,12,31.0,7.934155233536322,11,116,7,8,0.5426597200000001,1997,2790.0,0,1.9520218163881091,27,3.7419354838709675,2,83
48,0.3489061740398639,,1.41,0.9987748033300387,0.74953,0.3469167928098391,3,1.8811788720931781,34,34,-5.5880000000000045,2.323529411764706,90.0,13,34.0,6.8225223981036,14,127,8,7,0.4841963799999999,1987,3060.0,0,1.64810490061413,37,3.735294117647059,3,79
52,0.34413669868215324,3000000.0,1.41,0.9948461938771825,0.74953,0.712403642384106,7,1.8811788720931781,37,37,11.46600000000001,3.5405405405405403,90.0,10,37.0,8.11102783819368,12,182,8,15,0.56439609,1993,3330.0,0,2.0325340171437114,31,4.918918918918919,7,131
19,0.3883343833675955,,1.58,0.9998033584747218,0.74953,0.4247995269631033,2,2.1079876722746254,11,13,-1.241999999999995,2.8925619834710745,83.46153846153847,9,12.1,6.990256500493881,2,54,1,0,0.49993651000000006,1999,1085.0,0,1.7187677303777613,25,4.462809917355372,1,35
68,0.3304052252732605,,2.19,0.9945502694820963,,0.12256135288552547,4,,31,31,-13.528999999999995,3.096774193548387,90.0,23,31.0,7.1407397101826895,4,163,5,4,,2002,2790.0,0,,22,5.258064516129032,4,96
7,0.43293978748524203,18000000.0,1.0,0.9990384200824136,0.74953,0.4698628192999054,0,1.3341694128320414,7,7,-0.7999999999999985,1.8571428571428572,90.0,1,7.0,6.447305862541213,6,20,4,0,0.48719450000000003,1999,630.0,1,1.73710110613452,25,2.857142857142857,0,13
48,0.4318282515758624,30000000.0,1.41,0.999991145120355,0.74953,0.4524100756859038,7,1.8811788720931781,34,34,-0.8159999999999856,2.6176470588235294,90.0,12,34.0,7.625172091998141,11,136,8,11,0.51267852,2000,3060.0,0,1.8662880077836603,23,4.0,5,89
3,0.38672842264208346,600000.0,1.5,0.9952648769885244,0.74953,0.5011234626300851,1,2.001254119248062,2,2,0.7200000000000006,4.0,90.0,2,2.0,4.678647328139243,0,12,0,0,0.5621475,2001,180.0,0,1.2827577832088992,22,6.0,0,8
0,0.5400826446280992,3500000.0,0.0,0.9076506200815612,0.74953,0.7117313150425733,0,0.0,2,2,0.6200000000000001,1.0,90.0,0,2.0,5.198497031265826,2,2,2,0,0.74953,1994,180.0,0,1.4987790276750907,30,1.0,0,2
39,0.4045171147671619,900000.0,1.31,0.9999959023402899,0.74953,0.45003874172185454,4,1.7477619308099743,30,30,-1.2319999999999887,2.457912457912458,89.1,12,29.7,7.654590834932032,8,112,7,10,0.50893087,1990,2673.0,0,1.864514005280846,33,3.771043771043771,3,73
30,0.39424931129476587,20000000.0,0.83,0.9901037680650285,0.74953,0.7464413907284766,5,1.1073606126505944,36,36,10.373999999999997,2.388888888888889,90.0,6,36.0,8.083637203141548,20,114,15,10,0.58538293,1993,3240.0,0,2.051497255206968,31,3.1666666666666665,5,86
7,0.2906795224977043,,1.29,0.9880394461803513,0.74953,0.40012682119205306,1,1.7210785425533335,5,6,-1.6659999999999984,1.2962962962962963,81.16666666666667,3,5.4,5.88079963556049,1,14,0,1,0.42798163000000006,2001,487.0,0,1.463827195153743,23,2.5925925925925926,1,7
6,0.287396694214876,,1.68,0.9993766018707574,0.74953,0.46154664143803215,1,2.2414046135578296,3,5,0.27200000000000024,3.333333333333333,64.2,2,3.6,4.619641236435527,0,17,0,1,0.52916818,2003,321.0,0,1.2322717453441356,20,4.722222222222222,1,12
18,0.35695725584288635,8000000.0,1.16,0.9997119076747017,0.74953,0.5002227057710501,2,1.547636518885168,15,16,0.4240000000000004,2.2580645161290325,87.25,5,15.5,7.242082359256962,7,53,4,3,0.52317194,1999,1396.0,1,1.8876867328319817,25,3.4193548387096775,2,35
2,0.2900826446280992,,2.0,0.6831562090034732,,0.12388836329233682,0,,1,1,-1.38,0.0,90.0,1,1.0,3.834230580539322,0,2,0,0,,2003,90.0,0,,21,2.0,0,0
43,0.42567069550668574,18000000.0,1.19,0.9992728392380383,0.74953,0.5382262535477766,6,1.5876616012701292,36,36,2.340000000000002,2.388888888888889,90.0,16,36.0,8.083637203141548,13,130,13,7,0.53066724,1995,3240.0,0,1.986477303246703,29,3.611111111111111,5,86
2,0.5308736717827627,,1.48,0.9774247891617887,0.74953,0.5384346263008515,1,1.974570730991421,1,2,0.8580000000000001,2.857142857142857,61.0,0,1.4,4.571575137603796,0,6,1,1,0.62435849,2000,122.0,0,1.3104385646717478,23,4.285714285714286,1,4
10,0.3615112160566706,5000000.0,1.43,0.9821075259033825,0.74953,0.63597119205298,1,1.907862260349819,7,7,6.174,5.571428571428571,90.0,4,7.0,6.447305862541213,2,49,2,1,0.61161648,2000,630.0,0,1.6773818937409533,24,7.0,1,39
18,0.35674931129476584,,1.2,0.998323804052397,0.74953,0.5314963103122043,3,1.6010032953984497,15,15,1.7280000000000015,2.466666666666667,90.0,5,15.0,7.208600337960199,5,54,4,5,0.54116066,1994,1350.0,0,1.7918841040250029,30,3.6,3,37
14,0.4857202306783114,28000000.0,0.67,0.9882636679411098,0.74953,0.6830631504257333,2,0.8938935065974678,21,21,6.2000000000000055,2.238095238095238,90.0,3,21.0,7.544861068658458,10,62,10,8,0.5921287000000001,1997,1890.0,0,1.9444273740502762,27,2.9523809523809526,1,47
39,0.3527892561983471,6000000.0,1.25,0.9974082099698607,0.74953,0.5880566225165562,9,1.6677117660400518,32,32,4.704000000000004,2.4038461538461537,87.8125,13,31.2,7.941295570906532,9,112,8,10,0.54865596,1996,2810.0,0,1.957229246111688,27,3.58974358974359,9,75
39,0.3849297570451848,3000000.0,1.03,0.9947027533588729,0.74953,0.6769327814569537,9,1.3741944952170027,38,38,8.064000000000007,2.263157894736842,90.0,18,38.0,8.137688184977605,11,126,9,9,0.56514562,1993,3420.0,0,2.035649549766751,31,3.3157894736842106,8,86
7,0.33174931129476587,,1.17,0.9984831968017015,0.74953,0.5144411069063386,0,1.5609782130134884,6,6,0.7500000000000007,3.1666666666666665,90.0,3,6.0,6.293419278846481,1,25,1,2,0.5396616,1997,540.0,0,1.5966285710102064,26,4.166666666666667,0,19
12,0.4234159779614325,,0.8,0.9998033584747218,0.74953,0.49243859981078536,1,1.067335530265633,15,15,-0.758999999999997,1.4,90.0,0,15.0,6.776084317682587,14,33,8,1,0.49993651000000006,1990,1350.0,1,1.8083773679606505,34,2.2,1,21
9,0.32090289256198345,12000000.0,1.2,0.9979769161102846,0.74953,0.44192128666035957,1,1.6010032953984497,8,8,-1.1879999999999986,1.7333333333333334,84.25,1,7.5,6.51471269087253,7,22,1,0,0.47670108,1992,674.0,1,1.712793711646128,32,2.933333333333333,1,13
5,0.2900826446280992,2000000.0,1.25,0.9818335245438813,0.74953,0.39407024597918644,0,1.6677117660400518,4,4,-1.5949999999999989,1.5,90.0,1,4.0,5.8888779583328805,1,11,0,2,0.40849385000000005,1999,360.0,0,1.4631738389163162,25,2.75,0,6
9,0.38672842264208346,900000.0,2.25,0.9682699983970502,0.74953,0.2665385525070957,1,3.001881178872093,4,4,-3.419999999999999,2.5,90.0,2,4.0,5.8888779583328805,2,18,0,0,0.374765,1997,360.0,0,1.4426991907045805,27,4.5,0,10
7,0.2900826446280992,,3.5,0.9998033584747218,0.74953,0.2964665089877011,1,4.669592944912145,2,2,-0.41399999999999837,5.5,90.0,2,2.0,3.8988727734493693,0,18,0,0,0.49993651000000006,2005,180.0,0,1.031011493992594,19,9.0,1,11
